bundle,downstream_accuracy_linear,downstream_accuracy_linear_mi_mean,downstream_accuracy_linear_mi_pooled,downstream_accuracy_linear_mi_std,downstream_accuracy_random_forest,downstream_accuracy_random_forest_mi_mean,downstream_accuracy_random_forest_mi_pooled,downstream_accuracy_random_forest_mi_std,downstream_accuracy_xgboost,downstream_accuracy_xgboost_mi_mean,downstream_accuracy_xgboost_mi_pooled,downstream_accuracy_xgboost_mi_std,imputation_mae,imputation_nmae,imputation_nrmse,imputation_rmse,mae_mi_between_var,mae_mi_mean,mae_mi_std,method,missing_fraction,nmae_mi_between_var,nmae_mi_mean,nmae_mi_std,nrmse_mi_between_var,nrmse_mi_mean,nrmse_mi_std,pattern,rmse_mi_between_var,rmse_mi_mean,rmse_mi_std,seed,status
pattern_mar_logistic__frac_0p200__seed_0,0.8061224489795918,,,,0.8571428571428571,,,,0.8367346938775511,,,,33.199789671221865,0.19190629867758302,0.2340736725711632,40.494745354811236,,,,global_mean,0.2,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p200__seed_0,0.8061224489795918,,,,0.8469387755102041,,,,0.8367346938775511,,,,35.25284700511744,0.20377368211050542,0.24953367987647765,43.169326618630635,,,,row_mean,0.2,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p200__seed_0,0.8673469387755102,,,,0.8469387755102041,,,,0.8469387755102041,,,,5.605097464760937,0.03239940731075686,0.0722751366233113,12.503598635832853,,,,soft_impute,0.2,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p200__seed_0,,0.8571428571428572,0.8673469387755102,0.008331597764568597,,0.8571428571428571,0.8571428571428571,0.008331597764568597,,0.8639455782312925,0.8673469387755102,0.009620500424306781,,,,,0.030201363052931612,6.467436730449143,0.1418951797464866,mi_gaussian,0.2,1.0091003058215027e-06,0.03738402734363666,0.0008202033511357626,6.790582831063805e-06,0.08272065721888393,0.002127687763913964,mar_logistic,0.20323535355090877,14.310673698866921,0.3680899831571159,0,ok
pattern_mcar__frac_0p200__seed_0,0.8571428571428571,,,,0.8673469387755102,,,,0.8673469387755102,,,,33.58719071484218,0.19992375425501296,0.24505416468901103,41.169099667753855,,,,global_mean,0.2,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p200__seed_0,0.8775510204081632,,,,0.8673469387755102,,,,0.8571428571428571,,,,35.282864448137595,0.2100170502865333,0.25843083301490605,43.416379946504215,,,,row_mean,0.2,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p200__seed_0,0.8673469387755102,,,,0.8673469387755102,,,,0.8367346938775511,,,,5.102207457129264,0.030370282482912285,0.06570746086507392,11.03885342533242,,,,soft_impute,0.2,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p200__seed_0,,0.8571428571428571,0.8571428571428571,0.01666319552913724,,0.8639455782312925,0.8673469387755102,0.009620500424306781,,0.8673469387755102,0.8673469387755102,0.01443075063646017,,,,,0.06354506469372698,6.245408614258317,0.20582365379733364,mi_gaussian,0.2,2.2514549565521147e-06,0.03717505127534713,0.0012251407964126992,7.762673851434807e-06,0.07946850328737863,0.0022748881073486973,mcar,0.21909370678289664,13.350708552279608,0.38218120203458167,0,ok
