bundle,downstream_r2_linear,downstream_r2_linear_mi_mean,downstream_r2_linear_mi_pooled,downstream_r2_linear_mi_std,downstream_r2_random_forest,downstream_r2_random_forest_mi_mean,downstream_r2_random_forest_mi_pooled,downstream_r2_random_forest_mi_std,downstream_r2_xgboost,downstream_r2_xgboost_mi_mean,downstream_r2_xgboost_mi_pooled,downstream_r2_xgboost_mi_std,imputation_mae,imputation_nmae,imputation_nrmse,imputation_rmse,mae_mi_between_var,mae_mi_mean,mae_mi_std,method,missing_fraction,nmae_mi_between_var,nmae_mi_mean,nmae_mi_std,nrmse_mi_between_var,nrmse_mi_mean,nrmse_mi_std,pattern,rmse_mi_between_var,rmse_mi_mean,rmse_mi_std,seed,status
pattern_mcar__frac_0p100__seed_0,0.0171017655574075,,,,0.7730909669624766,,,,0.7436819090184998,,,,31.61379040949479,0.19044452053912525,0.23033329517520337,38.23532699908376,,,,global_mean,0.1,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p100__seed_0,0.02811961273195107,,,,0.8369045193179397,,,,0.8108397191990917,,,,33.23652400730912,0.2002200241404164,0.24234694171705862,40.22959232503173,,,,row_mean,0.1,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p100__seed_0,0.9812946360892016,,,,0.9833923401849985,,,,0.9751129780367717,,,,3.6303198121021047,0.021869396458446416,0.04973384279564848,8.255817904077647,,,,soft_impute,0.1,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p100__seed_0,,0.7877870443525902,0.8690809396245939,0.06708033273971142,,0.7825154957675227,0.8343293422072291,0.04671102101619896,,0.7142745325916972,0.774971156578775,0.061199440178427884,,,,,0.09929506761199186,5.2794769603966225,0.2572872164358888,mi_gaussian,0.1,3.6033919150817252e-06,0.031804078074678443,0.0015499229905776449,1.0205678636771652e-05,0.06897201395030873,0.0026084067470100916,mcar,0.2812276805148794,11.44935431575125,0.432995520003675,0,ok
pattern_mcar__frac_0p200__seed_0,-0.08707106773382667,,,,0.728082930974078,,,,0.7227009791723247,,,,32.272721896938606,0.19209953510082503,0.23296832685553337,39.138678911729606,,,,global_mean,0.2,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p200__seed_0,-0.03855133138709066,,,,0.7641612082696747,,,,0.7392774441112717,,,,33.92280286665467,0.20192144563484923,0.2459642095085264,41.321987197432435,,,,row_mean,0.2,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p200__seed_0,0.9788820872458232,,,,0.981466241011027,,,,0.9773558742592507,,,,3.9442395307224682,0.023477616254300407,0.05451720487373318,9.158890418787175,,,,soft_impute,0.2,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p200__seed_0,,0.5201462859572885,0.6454813081111974,0.08172985785495784,,0.5603697737541853,0.6301275521981474,0.07507069501492392,,0.5936963591870902,0.6595430440201939,0.03326819186156269,,,,,0.056539266518849614,5.039462952452811,0.1941464507682274,mi_gaussian,0.2,2.003233649335656e-06,0.029996803288409587,0.0011556336355251625,1.2725193136256478e-05,0.06575999220851798,0.00291263833848929,mcar,0.3591558510777036,11.047678691031024,0.4893232408662012,0,ok
pattern_mcar__frac_0p300__seed_0,-0.04239642833068524,,,,0.6154227928933388,,,,0.6057116697600018,,,,32.51290550046328,0.1901339502951069,0.23065709013306337,39.44236241275384,,,,global_mean,0.3,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p300__seed_0,-0.031153726590358533,,,,0.6060416104122197,,,,0.602205084878938,,,,34.22602995754469,0.20015222197394555,0.24404234484880047,41.73124096914488,,,,row_mean,0.3,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p300__seed_0,0.9786177177232698,,,,0.9825772536994297,,,,0.9794763149656704,,,,4.211641261220591,0.024629481059769538,0.058011627648725694,9.919988327932094,,,,soft_impute,0.3,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p300__seed_0,,0.3955825749619731,0.5895932889112958,0.028890763179936576,,0.47847544904232003,0.6173308800294406,0.17626154678202244,,0.45620147303211195,0.6032715441896981,0.13087501882979177,,,,,0.002092905585931157,5.13154370632914,0.0373533183347982,mi_gaussian,0.3,7.157435060124989e-08,0.030009027522392633,0.00021844045809823461,1.0307796510639852e-06,0.0658084877340545,0.0008289670886366098,mcar,0.03014102777676177,11.253251402523318,0.14175337215685976,0,ok
pattern_mcar__frac_0p400__seed_0,-0.07039384523791203,,,,0.5723356004868765,,,,0.5362868124072416,,,,32.73992162111995,0.19146152994806986,0.2300841543610367,39.34439039573728,,,,global_mean,0.4,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p400__seed_0,-0.12158580164249644,,,,0.5548194891409957,,,,0.5528255902821133,,,,34.63390075016802,0.20253743128753227,0.2450549278069389,41.90439265498655,,,,row_mean,0.4,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p400__seed_0,0.9790913292692944,,,,0.9855747543044133,,,,0.98248076844517,,,,4.627672013989957,0.02706240943853776,0.06469312221248734,11.062523898335336,,,,soft_impute,0.4,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p400__seed_0,,0.28315000388782613,0.4091817020724161,0.07741753384982533,,0.3863904554653801,0.467185665560239,0.08369563567728454,,0.3085578837700896,0.4125913890178853,0.09422455364092737,,,,,0.0014577422442380345,4.965793939751637,0.031174158574456445,mi_gaussian,0.4,4.98526809698038e-08,0.02903973064182243,0.00018230502090325396,6.19972040483834e-08,0.06340182710696453,0.00020330142489807823,mcar,0.0018128602435787049,10.841712435290935,0.034764543657570667,0,ok
pattern_mcar__frac_0p500__seed_0,-0.05412400456858113,,,,0.496840849397003,,,,0.4346043047137632,,,,33.10660839133934,0.18810572949624627,0.22381443733227957,39.3913409704812,,,,global_mean,0.5,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p500__seed_0,-0.05336832352122989,,,,0.4251552810555249,,,,0.44584408795415176,,,,35.36098257608962,0.20091467372778193,0.24173144457555337,42.54473424529739,,,,row_mean,0.5,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p500__seed_0,0.979944845647133,,,,0.9863349156815366,,,,0.9782288091641179,,,,5.587357072378803,0.03174634700215229,0.07624316030948947,13.418796214470145,,,,soft_impute,0.5,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p500__seed_0,,0.2749933250087411,0.4145684233019339,0.0675604393919835,,0.34257934393288725,0.4432401185607372,0.035062599137825445,,0.29374793327445753,0.4174785528055942,0.015016790032094395,,,,,0.0010798440741516385,4.911313637950735,0.02683087865565393,mi_gaussian,0.5,3.4860668716156123e-08,0.027905191124720088,0.00015244817417985285,1.5686305162529226e-07,0.061925681456685554,0.0003233811493426833,mcar,0.004858989887145112,10.898919936376657,0.05691508228431261,0,ok
pattern_mcar__frac_0p600__seed_0,-0.043236446306630594,,,,0.26923222485886744,,,,0.2104795198397177,,,,33.71303165463671,0.13896550558382814,0.16272085326977984,39.476079003248586,,,,global_mean,0.6,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p600__seed_0,-0.03763456514116492,,,,0.25384133121679375,,,,0.28238717891573895,,,,35.87225975089867,0.14786586871763674,0.1764757846855449,42.81302536471319,,,,row_mean,0.6,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p600__seed_0,0.9783380727266914,,,,0.9811369337985386,,,,0.9816588725917732,,,,7.062762781885353,0.029112789702742593,0.07143750628203291,17.330739024021184,,,,soft_impute,0.6,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p600__seed_0,,0.25408062885422505,0.3638699492440275,0.040772045624668476,,0.2213451707257759,0.32767431404087743,0.011169147940325233,,0.20477330900893118,0.3240129205320307,0.028782602454427837,,,,,0.0028589115240616647,4.914847452246271,0.04365708437402926,mi_gaussian,0.6,4.857570609516858e-08,0.020259057923521312,0.0001799550056637651,2.581159840039262e-07,0.045071717292510784,0.00041482203734768497,mcar,0.0151913542907149,10.934398615163117,0.10063582626054833,0,ok
pattern_mcar__frac_0p700__seed_0,-0.04583116830504763,,,,0.07709188418988189,,,,0.06604700302546673,,,,34.510009997946604,0.14225065951338253,0.16405655487609244,39.80012021294002,,,,global_mean,0.7,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p700__seed_0,0.05450482141470703,,,,0.2851931996229239,,,,0.26404508246432346,,,,37.04960352553453,0.1527188933451547,0.18171184109193483,44.08329264890339,,,,row_mean,0.7,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p700__seed_0,0.9751105916321335,,,,0.981869335818281,,,,0.9795269960519979,,,,9.574975035968583,0.039468157609103806,0.09498140523903684,23.042488910990336,,,,soft_impute,0.7,,,,,,,mcar,,,,0,ok
pattern_mcar__frac_0p700__seed_0,,0.023472199846252446,0.1154292598511859,0.027195988699403005,,0.04992401014446183,0.14679870681992135,0.0899680892981923,,0.0396102098742224,0.17036317822959912,0.11069284831967068,,,,,0.002217165063962328,4.98892453369112,0.038446196725314095,mi_gaussian,0.7,3.767180537245143e-08,0.02056440450820742,0.00015847566663361166,4.356089406428023e-08,0.04631514479759285,0.00017041301606055063,mcar,0.0025637659655386212,11.236054127896026,0.041342197696289454,0,ok
